date|state|office|district|candidate|party|votes
11/4/2014|LOUISIANA|FOR UNITED STATES REPRESENTATIVE|6|Craig McCulloch|Republican|5815
11/4/2014|LOUISIANA|FOR UNITED STATES REPRESENTATIVE|6|Robert Lamar “Bob” Bell|Republican|5182
11/4/2014|LOUISIANA|FOR UNITED STATES REPRESENTATIVE|6|Norman “Norm” Clark|Republican|1848
11/4/2014|LOUISIANA|FOR UNITED STATES REPRESENTATIVE|6|“Trey” Thomas|Republican|1447
11/4/2014|LOUISIANA|FOR UNITED STATES REPRESENTATIVE|6|Edwin Edwards|Democrat|77866
11/4/2014|LOUISIANA|FOR UNITED STATES REPRESENTATIVE|6|Richard Lieberman|Democrat|7309
11/4/2014|LOUISIANA|FOR UNITED STATES REPRESENTATIVE|6|Peter Williams|Democrat|4037
11/4/2014|LOUISIANA|FOR UNITED STATES REPRESENTATIVE|6|Rufus Holt Craig, Jr.|Libertarian|3561
11/4/2014|MAINE|FOR UNITED STATES SENATOR||Susan M. Collins|Republican|413505
11/4/2014|MAINE|FOR UNITED STATES SENATOR||Shenna Bellows|Democrat|190254
11/4/2014|MAINE|FOR UNITED STATES SENATOR||Blank||12968
11/4/2014|MAINE|FOR UNITED STATES SENATOR||Others||269
11/4/2014|MAINE|FOR UNITED STATES REPRESENTATIVE|1|Isaac J. Misiuk|Republican|94751
11/4/2014|MAINE|FOR UNITED STATES REPRESENTATIVE|1|Chellie Pingree|Democrat|186674
11/4/2014|MAINE|FOR UNITED STATES REPRESENTATIVE|1|Richard P. Murphy|Independent|27410
11/4/2014|MAINE|FOR UNITED STATES REPRESENTATIVE|1|Blank||13089
11/4/2014|MAINE|FOR UNITED STATES REPRESENTATIVE|1|Others||63
11/4/2014|MAINE|FOR UNITED STATES REPRESENTATIVE|2|Bruce Poliquin|Republican|133320
11/4/2014|MAINE|FOR UNITED STATES REPRESENTATIVE|2|Emily Ann Cain|Democrat|118568
11/4/2014|MAINE|FOR UNITED STATES REPRESENTATIVE|2|Blaine Richardson|Independent|31337
11/4/2014|MAINE|FOR UNITED STATES REPRESENTATIVE|2|Blank||11536
11/4/2014|MAINE|FOR UNITED STATES REPRESENTATIVE|2|Others||248
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|1|Andy Harris|Republican|176342
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|1|Bill Tilghman|Democrat|73843
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|1|Other Write-ins||233
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|2|David Banach|Republican|70411
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|2|C. A. Dutch Ruppersberger|Democrat|120412
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|2|Ian Schlakman|Green|5326
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|2|Other Write-ins||205
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|3|Charles A. Long|Republican|87029
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|3|John P. Sarbanes|Democrat|128594
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|3|Other Write-ins||323
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|4|Nancy Hoyt|Republican|54217
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|4|Donna F. Edwards|Democrat|134628
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|4|Arvin Vohra|Libertarian|2795
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|4|Other Write-ins||197
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|5|Chris Chaffee|Republican|80752
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|5|Steny H. Hoyer|Democrat|144725
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|5|Dennis L. Fritz|Write-in (Unaffiliated)|227
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|5|Other Write-ins||336
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|6|Dan Bongino|Republican|91930
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|6|John K. Delaney|Democrat|94704
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|6|George Gluck|Green|3762
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|6|Other Write-ins||140
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|7|Corrogan R. Vaughn|Republican|55860
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|7|Elijah E. Cummings|Democrat|144639
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|7|Scott Soffen|Libertarian|6103
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|7|Other Write-ins||207
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|8|Dave Wallace|Republican|87859
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|8|Chris Van Hollen|Democrat|136722
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|8|Andrew Jaye Wildman|Write-in|102
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|8|Lih Young|Write-in|16
11/4/2014|MARYLAND|FOR UNITED STATES REPRESENTATIVE|8|Other Write-ins||398
11/4/2014|MASSACHUSETTS|FOR UNITED STATES SENATOR||Brian J. Herr|Republican|791950
11/4/2014|MASSACHUSETTS|FOR UNITED STATES SENATOR||Edward J. Markey|Democrat|1289944
11/4/2014|MASSACHUSETTS|FOR UNITED STATES SENATOR||Brian R. Muello|Write-in|6
11/4/2014|MASSACHUSETTS|FOR UNITED STATES SENATOR||Blanks||101817
11/4/2014|MASSACHUSETTS|FOR UNITED STATES SENATOR||All Others||3072
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|1|Richard E. Neal|Democrat|167612
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|1|Blanks||55965
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|1|All Others||3498
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|2|James P. McGovern|Democrat|169640
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|2|Blanks||63068
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|2|All Others||3105
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|3|Roseann L. Ehrhard Wofford|Republican|81638
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|3|Niki Tsongas|Democrat|139104
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|3|Blanks||9843
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|3|All Others||204
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|4|Joseph P. Kennedy III|Democrat|184158
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|4|Blanks||67199
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|4|All Others||3940
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|5|Katherine M. Clark|Democrat|182100
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|5|William F. Wilt|Write-in|1
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|5|Blanks||71226
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|5|All Others||3159
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|6|Richard R. Tisei|Republican|111989
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|6|Seth W. Moulton|Democrat|149638
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|6|Christopher J. Stockwell|Independent.|10373
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|6|Blanks||6700
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|6|All Others||219
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|7|Michael E. Capuano|Democrat|142133
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|7|Blanks||31531
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|7|All Others||2413
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|8|Stephen F. Lynch|Democrat|200644
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|8|Blanks||58430
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|8|All Others||2707
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|9|John C. Chapman|Republican|114971
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|9|William R. Keating|Democrat|140413
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|9|Blanks||9011
11/4/2014|MASSACHUSETTS|FOR UNITED STATES REPRESENTATIVE|9|All Others||157
11/4/2014|MICHIGAN|FOR UNITED STATES SENATOR||Terri Lynn Land|Republican|1290199
11/4/2014|MICHIGAN|FOR UNITED STATES SENATOR||Gary C. Peters|Democrat|1704936
11/4/2014|MICHIGAN|FOR UNITED STATES SENATOR||Jim Fulner|Libertarian|62897
11/4/2014|MICHIGAN|FOR UNITED STATES SENATOR||Richard A. Matkin|U.S. Taxpayers|37529
11/4/2014|MICHIGAN|FOR UNITED STATES SENATOR||Chris Wahmhoff|Green|26137
11/4/2014|MICHIGAN|FOR UNITED STATES SENATOR||Jeff Jones|Write-in|67
11/4/2014|MICHIGAN|FOR UNITED STATES SENATOR||Robert Boensch|Write-in|6
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|1|Dan Benishek|Republican|130414
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|1|Jerry Cannon|Democrat|113263
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|1|Loel Robert Gnadt|Libertarian|3823
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|1|Ellis Boal|Green|2631
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|2|Bill Huizenga|Republican|135568
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|2|Dean Vanderstelt|Democrat|70851
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|2|Ronald Welch II|Libertarian|3877
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|2|Ronald E. Graeser|U.S. Taxpayers|2776
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|3|Justin Amash|Republican|125754
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|3|Bob Goodrich|Democrat|84720
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|3|Tonya Duncan|Green|6691
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|4|John Moolenaar|Republican|123962
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|4|Jeff Holmes|Democrat|85777
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|4|George M. Zimmer|U.S. Taxpayers|4990
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|4|Will Tyler White|Libertarian|4694
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|5|Allen Hardwick|Republican|69222
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|5|Daniel T. Kildee|Democrat|148182
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|5|Harold H. Jones|Libertarian|4734
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|6|Fred Upton|Republican|116801
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|6|Paul Clements|Democrat|84391
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|6|Erwin J. Haas|Libertarian|5530
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|6|John M. Lawrence|Green|2254
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|7|Tim Walberg|Republican|119564
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|7|Pam Byrnes|Democrat|92083
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|7|Ken Proctor|Libertarian|4531
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|7|David Swartout|No Party Affiliation|4369
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|7|Rick Strawcutter|U.S. Taxpayers|3138
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|8|Mike Bishop|Republican|132739
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|8|Eric Schertzing|Democrat|102269
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|8|James Weeks II|Libertarian|4557
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|8|Jim Casha|Green|1880
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|8|Jeremy Burgess|Natural Law Party|1680
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|9|George Brikho|Republican|81470
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|9|Sander M. Levin|Democrat|136342
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|9|Gregory Creswell|Libertarian|4792
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|9|John V. McDermott|Green|3153
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|10|Candice S. Miller|Republican|157069
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|10|Chuck Stadler|Democrat|67143
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|10|Harley Mikkelson|Green|4480
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|11|Dave Trott|Republican|140435
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|11|Bobby McKenzie|Democrat|101681
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|11|John J. Tatar|Libertarian|7711
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|11|Kerry Bentivolio|Write-in|1411
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|12|Terry Bowman|Republican|64716
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|12|Debbie Dingell|Democrat|134346
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|12|Gary Walkowicz|No Party Affiliation|5039
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|12|Bhagwan Dashairya|Libertarian|2559
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|13|Jeff Gorman|Republican|27234
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|13|John Conyers, Jr.|Democrat|132710
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|13|Chris Sharer|Libertarian|3537
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|13|Sam Johnson|No Party Affiliation|3466
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|14|Christina L. Barr|Republican|41801
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|14|Brenda Lawrence|Democrat|165272
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|14|Leonard Schwartz|Libertarian|3366
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|14|Stephen Boyle|Green|1999
11/4/2014|MICHIGAN|FOR UNITED STATES REPRESENTATIVE|14|Calvin Pruden|Write-in|30
11/4/2014|MINNESOTA|FOR UNITED STATES SENATOR||Mike McFadden|Republican|850227
11/4/2014|MINNESOTA|FOR UNITED STATES SENATOR||Al Franken|Democratic-Farmer-Labor|1053205
11/4/2014|MINNESOTA|FOR UNITED STATES SENATOR||Steve Carlson|Independence|47530
11/4/2014|MINNESOTA|FOR UNITED STATES SENATOR||Heather Johnson|Libertarian|29685
11/4/2014|MINNESOTA|FOR UNITED STATES SENATOR||Write-in||881
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|1|Jim Hagedorn|Republican|103536
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|1|Timothy J. Walz|Democratic-Farmer-Labor|122851
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|1|Write-in||308
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|2|John Kline|Republican|137778
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|2|Mike Obermueller|Democratic-Farmer-Labor|95565
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|2|Paula Overby|Independence|12319
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|2|Write-in||186
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|3|Erik Paulsen|Republican|167515
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|3|Sharon Sund|Democratic-Farmer-Labor|101846
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|3|Write-in||224
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|4|Sharna Wahlgren|Republican|79492
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|4|Betty McCollum|Democratic-Farmer-Labor|147857
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|4|Dave Thomas|Independence|14059
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|4|Write-in||229
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|5|Doug Daggett|Republican|56577
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|5|Keith Ellison|Democratic-Farmer-Labor|167079
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|5|Lee Bauer|Independence|12001
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|5|Write-in||353
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|6|Tom Emmer|Republican|133328
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|6|Joe Perske|Democratic-Farmer-Labor|90926
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|6|John Denney|Independence|12457
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|6|Write-in||135
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|7|Torrey Westrom|Republican|109955
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|7|Collin C. Peterson|Democratic-Farmer-Labor|130546
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|7|Write-in||334
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|8|Stewart Mills|Republican|125358
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|8|Richard M. Nolan|Democratic-Farmer-Labor|129090
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|8|Ray Skip Sandman|Green|11450
11/4/2014|MINNESOTA|FOR UNITED STATES REPRESENTATIVE|8|Write-in||185
11/4/2014|MISSISSIPPI|FOR UNITED STATES SENATOR||Thad Cochran|Republican|378481
11/4/2014|MISSISSIPPI|FOR UNITED STATES SENATOR||Travis W. Childers|Democrat|239439
11/4/2014|MISSISSIPPI|FOR UNITED STATES SENATOR||Shawn O’Hara|Reform|13938
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|1|Alan Nunnelee|Republican|102622
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|1|Ron E. Dickey|Democrat|43713
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|1|Danny Bedwell|Libertarian|3830
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|1|Lajena Walley|Reform|946
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|2|Bennie G. Thompson|Democrat|100688
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|2|Troy Ray|Independent|36465
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|2|Shelley Shoemake|Reform|11493
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|3|Gregg Harper|Republican|117771
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|3|Douglas MacArthur “Doug” Magee|Democrat|47744
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|3|Roger Gerrard|Independent|3890
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|3|Barbara Dale Washer|Reform|1541
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|4|Steven M. Palazzo|Republican|108776
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|4|Matt Moore|Democrat|37869
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|4|Cindy Burleson|Independent.|3684
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|4|Joey Robinson|Libertarian|3473
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|4|Eli “Sarge” Jackson|Reform|917
11/4/2014|MISSISSIPPI|FOR UNITED STATES REPRESENTATIVE|4|Ed Reich|Independent|857
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|1|Daniel J. Elder|Republican|35273
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|1|Wm. Lacy Clay|Democrat|119315
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|1|Robb E. Cunningham|Libertarian|8906
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|2|Ann Wagner|Republican|148191
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|2|Arthur Lieber|Democrat|75384
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|2|Bill Slantz|Libertarian|7542
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|3|Blaine Luetkemeyer|Republican|130940
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|3|Courtney Denton|Democrat|52021
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|3|Steven Hedrick|Libertarian|8593
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|3|Harold Davis|Write-in|66
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|4|Vicky Hartzler|Republican|120014
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|4|Nate Irvin|Democrat|46464
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|4|Herschel L. Young|Libertarian|9793
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|4|Gregory A. Cowan|Write-in|15
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|5|Jacob Turk|Republican|69071
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|5|Emanuel Cleaver|Democrat|79256
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|5|Roy Welborn|Libertarian|5308
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|6|Sam Graves|Republican|124616
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|6|W. A. “Bill” Hedge|Democrat|55157
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|6|Russ Monchil|Libertarian|7197
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|7|Billy Long|Republican|104054
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|7|Jim Evans|Democrat|47282
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|7|Kevin Craig|Libertarian|12584
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|7|Nikolas Bruce|Write-in|32
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|7|John C. Hagerty|Write-in|3
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|7|Martin Lindstedt|Write-in|2
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|8|Jason T. Smith|Republican|106124
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|8|Barbara Stocker|Democrat|38721
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|8|Terry Hampton|Independent.|6821
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|8|Doug Enyart|Constitution|3799
11/4/2014|MISSOURI|FOR UNITED STATES REPRESENTATIVE|8|Rick Vandeven|Libertarian|3759
11/4/2014|MONTANA|FOR UNITED STATES SENATOR||Steve Daines|Republican|213709
11/4/2014|MONTANA|FOR UNITED STATES SENATOR||Amanda Curtis|Democrat|148184
11/4/2014|MONTANA|FOR UNITED STATES SENATOR||Roger Roots|Libertarian|7933
11/4/2014|MONTANA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Ryan Zinke|Republican|203871
11/4/2014|MONTANA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|John Lewis|Democrat|148690
11/4/2014|MONTANA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Mike Fellows|Libertarian|15402
11/4/2014|NEBRASKA|FOR UNITED STATES SENATOR||Ben Sasse|Republican|347636
11/4/2014|NEBRASKA|FOR UNITED STATES SENATOR||Dave Domina|Democrat|170127
11/4/2014|NEBRASKA|FOR UNITED STATES SENATOR||Jim Jenkins|By Petition|15868
11/4/2014|NEBRASKA|FOR UNITED STATES SENATOR||Todd F. Watson|By Petition|6260
11/4/2014|NEBRASKA|FOR UNITED STATES SENATOR||Scattering/Write-ins||446
11/4/2014|NEBRASKA|FOR UNITED STATES REPRESENTATIVE|1|Jeff Fortenberry|Republican|123219
11/4/2014|NEBRASKA|FOR UNITED STATES REPRESENTATIVE|1|Dennis P. Crawford|Democrat|55838
11/4/2014|NEBRASKA|FOR UNITED STATES REPRESENTATIVE|2|Lee Terry|Republican|78157
11/4/2014|NEBRASKA|FOR UNITED STATES REPRESENTATIVE|2|Brad Ashford|Democrat|83872
11/4/2014|NEBRASKA|FOR UNITED STATES REPRESENTATIVE|2|Steven Laird|Libertarian|9021
11/4/2014|NEBRASKA|FOR UNITED STATES REPRESENTATIVE|2|Scattering/Write-ins||459
11/4/2014|NEBRASKA|FOR UNITED STATES REPRESENTATIVE|3|Adrian Smith|Republican|139440
11/4/2014|NEBRASKA|FOR UNITED STATES REPRESENTATIVE|3|Mark Sullivan|Democrat|45524
11/4/2014|NEVADA|FOR UNITED STATES REPRESENTATIVE|1|Annette Teijeiro|Republican|30413
11/4/2014|NEVADA|FOR UNITED STATES REPRESENTATIVE|1|Dina Titus|Democrat|45643
11/4/2014|NEVADA|FOR UNITED STATES REPRESENTATIVE|1|Richard “Ricardo Carlos” Charles|Libertarian|2617
11/4/2014|NEVADA|FOR UNITED STATES REPRESENTATIVE|1|Kamau Bakari|Independent American|1626
11/4/2014|NEVADA|FOR UNITED STATES REPRESENTATIVE|2|Mark E. Amodei|Republican|122402
11/4/2014|NEVADA|FOR UNITED STATES REPRESENTATIVE|2|Kristen Spees|Democrat|52016
