date|state|office|district|candidate|party|votes
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|38|Linda T. Sánchez|Democrat|163590
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|39|Edward R. Royce|Republican|150777
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|39|Brett Murdock|Democrat|112679
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|40|Lucille Roybal-Allard|Democrat|106554
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|40|Roman Gabriel|No Party Preference|42743
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|41|Doug Shepherd|Republican|69159
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|41|Mark Takano|Democrat|128164
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|42|Ken Calvert|Republican|149547
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|42|Tim Sheridan|Democrat|104689
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|43|Omar Navarro|Republican|52499
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|43|Maxine Waters|Democrat|167017
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|44|Nanette Diaz Barragán|Democrat|93124
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|44|Isadore Hall III|Democrat|85289
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|45|Mimi Walters|Republican|182618
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|45|Ron Varasteh|Democrat|129231
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|46|Lou Correa|Democrat|115248
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|46|Bao Nguyen|Democrat|49345
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|47|Andy Whallon|Republican|88109
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|47|Alan S. Lowenthal|Democrat|154759
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|48|Dana Rohrabacher|Republican|178701
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|48|Suzanne Savary|Democrat|127715
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|49|Darrell E. Issa|Republican|155888
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|49|Doug Applegate|Democrat|154267
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|50|Duncan Hunter|Republican|179937
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|50|Patrick Malloy|Democrat|103646
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|51|Juan M. Hidalgo Jr.|Republican|54362
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|51|Juan Vargas|Democrat|145162
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|52|Denise Gitsham|Republican|139403
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|52|Scott H. Peters|Democrat|181253
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|53|James Veltmeyer|Republican|97968
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|53|Susan A. Davis|Democrat|198988
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Republican|1202484
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Democratic|1338870
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Libertarian|144121
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Green|38437
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Unaffiliated|31485
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||American Constitution|11699
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Veterans Party of America|5028
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||American Delta Party|1255
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Independent American|1096
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Independent People of Colorado|872
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||American Solidarity Party|862
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Nutrition Party|751
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||America’s Party|710
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Socialism and Liberation|531
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Socialist Workers|452
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Kotlikoff for President|392
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Nonviolent Resistance/Pacifist|382
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Approval Voting Party|337
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Socialist Party USA|271
11/08/2016|COLORADO|FOR PRESIDENTIAL ELECTORS|||Prohibition|185
11/08/2016|COLORADO|FOR UNITED STATES SENATOR||Darryl Glenn|Republican|1215318
11/08/2016|COLORADO|FOR UNITED STATES SENATOR||Michael F. Bennet|Democrat|1370710
11/08/2016|COLORADO|FOR UNITED STATES SENATOR||Lily Tang Williams|Libertarian|99277
11/08/2016|COLORADO|FOR UNITED STATES SENATOR||Arn Menconi|Green|36805
11/08/2016|COLORADO|FOR UNITED STATES SENATOR||Bill Hammons|Unity Party of Colorado|9336
11/08/2016|COLORADO|FOR UNITED STATES SENATOR||Dan Chapin|Unaffiliated|8361
11/08/2016|COLORADO|FOR UNITED STATES SENATOR||Paul Noel Fiorino|Unaffiliated|3216
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Charles “Casper” Stockham|Republican|105030
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Diana DeGette|Democrat|257254
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Darrell Dinges|Libertarian|16752
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|2|Nicholas Morse|Republican|170001
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|2|Jared Polis|Democrat|260175
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|2|Richard Longstreth|Libertarian|27136
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Scott R. Tipton|Republican|204220
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Gail Schwartz|Democrat|150914
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Gaylon Kent|Libertarian|18903
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Ken Buck|Republican|248230
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Bob Seay|Democrat|123642
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Bruce Griffith|Libertarian|18761
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|5|Doug Lamborn|Republican|225445
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|5|Misty Plowright|Democrat|111676
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|5|Mike McRedmond|Libertarian|24872
11/08/2016|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Mike Coffman|Republican|191626
